item_id,timestamp,target,band_700,band_800,band_1800,band_2100,band_2600,band_3500,traffic_ref_2023_mbps
T36870A,2021-06-21,12.52701988,0,1,1,0,0,0,15.444746107206669
T36870A,2021-07-05,11.0869102,0,1,1,0,0,0,15.444746107206669
T36870A,2021-07-12,15.47073917,0,1,1,0,0,0,15.444746107206669
T36870A,2021-07-19,12.22217024,0,1,1,0,0,0,15.444746107206669
T36870A,2021-07-26,17.03081319,0,1,1,0,0,0,15.444746107206669
T36870A,2021-08-02,16.04420182,0,1,1,0,0,0,15.444746107206669
T36870A,2021-08-09,15.63554501,0,1,1,0,0,0,15.444746107206669
T36870A,2021-08-16,15.81789131,0,1,1,0,0,0,15.444746107206669
T36870A,2021-08-23,17.22293682,0,1,1,0,0,0,15.444746107206669
T36870A,2021-08-30,14.41661228,0,1,1,0,0,0,15.444746107206669
T36870A,2021-09-06,15.2883926,0,1,1,0,0,0,15.444746107206669
T36870A,2021-09-13,14.88625128,0,1,1,0,0,0,15.444746107206669
T36870A,2021-09-20,13.82787071,0,1,1,0,0,0,15.444746107206669
T36870A,2021-09-27,12.13530478,0,1,1,0,0,0,15.444746107206669
T36870A,2021-10-04,15.68715017,0,1,1,0,0,0,15.444746107206669
T36870A,2021-10-11,12.83582614,0,1,1,0,0,0,15.444746107206669
T36870A,2021-10-18,17.43608817,0,1,1,0,0,0,15.444746107206669
T36870A,2021-10-25,18.24245664,0,1,1,0,0,0,15.444746107206669
T36870A,2021-11-01,19.3446678,0,1,1,0,0,0,15.444746107206669
T36870A,2021-11-15,20.32991807,0,1,1,0,0,0,15.444746107206669
T36870A,2021-11-22,20.54869549,0,1,1,0,0,0,15.444746107206669
T36870A,2021-11-29,23.26108199,0,1,1,0,0,0,15.444746107206669
T36870A,2021-12-06,19.20747886,0,1,1,0,0,0,15.444746107206669
T36870A,2021-12-13,20.3418014,0,1,1,0,0,0,15.444746107206669
T36870A,2021-12-20,24.60354777,0,1,1,0,0,0,15.444746107206669
T36870A,2021-12-27,20.26376405,0,1,1,0,0,0,15.444746107206669
T36870A,2022-01-03,20.79709053,0,1,1,0,0,0,15.444746107206669
T36870A,2022-01-10,18.11595706,0,1,1,0,0,0,15.444746107206669
T36870A,2022-01-17,19.81620536,0,1,1,0,0,0,15.444746107206669
T36870A,2022-01-24,17.01318515,0,1,1,0,0,0,15.444746107206669
T36870A,2022-01-31,20.30954264,0,1,1,0,0,0,15.444746107206669
T36870A,2022-02-07,22.34587058,0,1,1,0,0,0,15.444746107206669
T36870A,2022-02-14,19.26536102,0,1,1,0,0,0,15.444746107206669
T36870A,2022-02-21,19.23164391,0,1,1,0,0,0,15.444746107206669
T36870A,2022-02-28,16.99404775,0,1,1,0,0,0,15.444746107206669
T36870A,2022-03-07,17.60730381,0,1,1,0,0,0,15.444746107206669
T36870A,2022-03-14,24.00536393,0,1,1,0,0,0,15.444746107206669
T36870A,2022-03-21,16.61358044,0,1,1,0,0,0,15.444746107206669
T36870A,2022-03-28,23.18871431,0,1,1,0,0,0,15.444746107206669
T36870A,2022-04-04,23.55567377,0,1,1,0,0,0,15.444746107206669
T36870A,2022-04-11,21.01640461,0,1,1,0,0,0,15.444746107206669
T36870A,2022-04-18,21.46163678,0,1,1,0,0,0,15.444746107206669
T36870A,2022-04-25,19.60969604,0,1,1,0,0,0,15.444746107206669
T36870A,2022-05-02,18.0837239,0,1,1,0,0,0,15.444746107206669
T36870A,2022-05-09,20.24903254,0,1,1,0,0,0,15.444746107206669
T36870A,2022-05-16,17.0175531,0,1,1,0,0,0,15.444746107206669
T36870A,2022-05-23,21.03963652,0,1,1,0,0,0,15.444746107206669
T36870A,2022-05-30,13.66787726,0,1,1,0,0,0,15.444746107206669
T36870A,2022-06-06,17.73054837,0,1,1,0,0,0,15.444746107206669
T36870A,2022-06-13,16.30701101,0,1,1,0,0,0,15.444746107206669
T36870A,2022-06-20,17.57006922,0,1,1,0,0,0,15.444746107206669
T36870A,2022-06-27,14.0796864,0,1,1,0,0,0,15.444746107206669
T36870A,2022-07-04,17.85878552,0,1,1,0,0,0,15.444746107206669
T36870A,2022-07-11,22.09948388,0,1,1,0,0,0,15.444746107206669
T36870A,2022-07-18,21.66109627,0,1,1,0,0,0,15.444746107206669
T36870A,2022-07-25,20.35686606,0,1,1,0,0,0,15.444746107206669
T36870A,2022-08-01,14.40001122,0,1,1,0,0,0,15.444746107206669
T36870A,2022-08-08,16.31939095,0,1,1,0,0,0,15.444746107206669
T36870A,2022-08-15,15.93785783,0,1,1,0,0,0,15.444746107206669
T36870A,2022-08-22,19.38577415,0,1,1,0,0,0,15.444746107206669
T36870A,2022-08-29,18.65326508,0,1,1,0,0,0,15.444746107206669
T36870A,2022-09-05,16.53106216,0,1,1,0,0,0,15.444746107206669
T36870A,2022-09-12,21.32762427,0,1,1,0,0,0,15.444746107206669
T36870A,2022-09-19,17.48837368,0,1,1,0,0,0,15.444746107206669
T36870A,2022-09-26,19.14092793,0,1,1,0,0,0,15.444746107206669
T36870A,2022-10-03,18.16016875,0,1,1,0,0,0,15.444746107206669
T36870A,2022-10-10,15.51800062,0,1,1,0,0,0,15.444746107206669
T36870A,2022-10-17,18.43343684,0,1,1,0,0,0,15.444746107206669
T36870A,2022-10-24,18.40700574,0,1,1,0,0,0,15.444746107206669
T36870A,2022-10-31,18.96765219,0,1,1,0,0,0,15.444746107206669
T36870A,2022-11-07,23.13236186,0,1,1,0,0,0,15.444746107206669
T36870A,2022-11-14,17.08304843,0,1,1,0,0,0,15.444746107206669
T36870A,2022-11-21,15.62240151,0,1,1,0,0,0,15.444746107206669
T36870A,2022-11-28,17.69010016,0,1,1,0,0,0,15.444746107206669
T36870A,2022-12-05,19.90620558,0,1,1,0,0,0,15.444746107206669
T36870A,2022-12-12,21.12905529,0,1,1,0,0,0,15.444746107206669
T36870A,2022-12-19,17.72126383,0,1,1,0,0,0,15.444746107206669
T36870A,2022-12-26,17.60379912,0,1,1,0,0,0,15.444746107206669
T36870A,2023-01-02,18.18414244,0,1,1,0,0,0,15.444746107206669
T36870A,2023-01-09,18.4697703,0,1,1,0,0,0,15.444746107206669
T36870A,2023-01-16,19.80287785,0,1,1,0,0,0,15.444746107206669
T36870A,2023-01-23,15.69145452,0,1,1,0,0,0,15.444746107206669
T36870A,2023-01-30,17.19305293,0,1,1,0,0,0,15.444746107206669
T36870A,2023-02-06,18.56066348,0,1,1,0,0,0,15.444746107206669
T36870A,2023-02-13,23.49612963,0,1,1,0,0,0,15.444746107206669
T36870A,2023-02-20,19.66398512,0,1,1,0,0,0,15.444746107206669
T36870A,2023-02-27,15.31149907,0,1,1,0,0,0,15.444746107206669
T36870A,2023-03-06,18.2639672,0,1,1,0,0,0,15.444746107206669
T36870A,2023-03-13,17.2126776,0,1,1,0,0,0,15.444746107206669
T36870A,2023-03-20,24.37970257,0,1,1,0,0,0,15.444746107206669
T36870A,2023-03-27,19.54405156,0,1,1,0,0,0,15.444746107206669
T36870A,2023-04-03,17.26881253,0,1,1,0,0,0,15.444746107206669
T36870A,2023-04-10,17.30008448,0,1,1,0,0,0,15.444746107206669
T36870A,2023-04-17,21.20767083,0,1,1,0,0,0,15.444746107206669
T36870A,2023-04-24,22.94591565,0,1,1,0,0,0,15.444746107206669
T36870A,2023-05-01,19.01689951,0,1,1,0,0,0,15.444746107206669
T36870A,2023-05-08,19.61021035,0,1,1,0,0,0,15.444746107206669
T36870A,2023-05-15,17.89553196,0,1,1,0,0,0,15.444746107206669
T36870A,2023-05-22,21.52116866,0,1,1,0,0,0,15.444746107206669
T36870A,2023-05-29,20.89658818,0,1,1,0,0,0,15.444746107206669
